parcel_id,survey_number,area_sqm,perimeter_m,confidence_score,verification_status,building_count,building_coverage_ratio,landuse_class,owner_record,has_gnss_control,tax_assessment_annual_inr,tax_rate_per_sqm,lulc_confidence
ULPIN-2026-d_07-00001,SY-100/1,1779.37,170.5,0.93,Needs GT Verification,1,0.77,Vacant/Green,Property Owner 1,True,800716,450,0.89
ULPIN-2026-d_07-00002,SY-100/2,1779.38,170.5,0.93,Needs GT Verification,1,0.77,Vacant/Green,Property Owner 2,True,800721,450,0.881
ULPIN-2026-d_07-00003,SY-100/3,1779.37,170.5,0.93,Needs GT Verification,1,0.77,Vacant/Green,Property Owner 3,True,800716,450,0.938
ULPIN-2026-d_07-00004,SY-100/4,1779.38,170.5,0.93,Needs GT Verification,1,0.77,Vacant/Green,Property Owner 4,True,800721,450,0.967
ULPIN-2026-d_07-00005,SY-100/5,2042.18,179.92,0.98,Needs GT Verification,1,0.679,Vacant/Green,Property Owner 5,True,918981,450,0.945
ULPIN-2026-d_07-00006,SY-100/6,1779.38,170.5,0.93,Needs GT Verification,1,0.779,Vacant/Green,Property Owner 6,True,800721,450,0.896
ULPIN-2026-d_07-00007,SY-100/7,1779.37,170.5,0.93,AI Confirmed,1,0.779,Vacant/Green,Property Owner 7,True,800716,450,0.953
ULPIN-2026-d_07-00008,SY-100/8,1992.37,180.5,0.98,AI Confirmed,2,0.704,Vacant/Green,Property Owner 8,True,896566,450,0.908
ULPIN-2026-d_07-00009,SY-100/9,1779.38,170.5,0.93,AI Confirmed,1,0.77,Vacant/Green,Property Owner 9,True,800721,450,0.884
ULPIN-2026-d_07-00010,SY-100/10,1485.44,156.1,0.78,Needs GT Verification,1,0.922,Commercial,Property Owner 10,True,6238848,4200,0.894
ULPIN-2026-d_07-00011,SY-100/11,1779.37,170.5,0.93,AI Confirmed,1,0.77,Vacant/Green,Property Owner 11,True,800716,450,0.96
ULPIN-2026-d_07-00012,SY-100/12,1779.37,170.5,0.93,AI Confirmed,1,0.77,Vacant/Green,Property Owner 12,True,800716,450,0.944
